,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2019-06-30,PZQA.IR,EUR,2019-06-30,2019-06-30,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941250.0,130750.0,8750.0,-932500.0,0.0,-941250.0,0.0,0.0,-6713250.0,0.0,0.0,-6713250.0,0.0,-0.01123257576644876,-0.01096995426223963,597659000.0,611967000.0,,,1620596965,17:49:25,20210509
1,2019-03-31,PZQA.IR,EUR,2019-03-31,2019-03-31,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941250.0,130750.0,8750.0,-932500.0,0.0,-941250.0,0.0,0.0,-6713250.0,0.0,0.0,-6713250.0,0.0,-0.01123257576644876,-0.01096995426223963,597659000.0,611967000.0,,,1620596965,17:49:25,20210509
2,2019-01-31,PZQA.IR,EUR,2019-01-31,2019-01-31,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941250.0,130750.0,8750.0,-932500.0,0.0,-941250.0,0.0,0.0,-6713250.0,0.0,0.0,-6713250.0,0.0,-0.01123257576644876,-0.01096995426223963,597659000.0,611967000.0,,,1620596965,17:49:25,20210509
3,2018-06-30,PZQA.IR,EUR,2018-06-30,2018-06-30,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979500.0,95500.0,35750.0,-943750.0,0.0,-979500.0,0.0,0.0,-1194750.0,0.0,0.0,-1194750.0,0.0,-0.002,-0.002,597659000.0,597659000.0,,,1620596965,17:49:25,20210509
4,2018-03-31,PZQA.IR,EUR,2018-03-31,2018-03-31,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979500.0,95500.0,35750.0,-943750.0,0.0,-979500.0,0.0,0.0,-1194750.0,0.0,0.0,-1194750.0,0.0,-0.002,-0.002,597659000.0,597659000.0,,,1620596965,17:49:25,20210509
5,2018-01-31,PZQA.IR,EUR,2018-01-31,2018-01-31,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979500.0,95500.0,35750.0,-943750.0,0.0,-979500.0,0.0,0.0,-1194750.0,0.0,0.0,-1194750.0,0.0,-0.002,-0.002,597659000.0,597659000.0,,,1620596965,17:49:25,20210509
6,2017-06-30,PZQA.IR,EUR,2017-06-30,2017-06-30,Q2,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,0.0,0.0,956750.0,33250.0,42750.0,-914000.0,0.0,-956750.0,0.0,0.0,-5104750.0,0.0,0.0,-5104750.0,0.0,-0.00855,-0.00855,597659000.0,597659000.0,,,1620596965,17:49:25,20210509
7,2017-03-31,PZQA.IR,EUR,2017-03-31,2017-03-31,Q1,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,0.0,0.0,956750.0,33250.0,42750.0,-914000.0,0.0,-956750.0,0.0,0.0,-5104750.0,0.0,0.0,-5104750.0,0.0,-0.00855,-0.00855,597659000.0,597659000.0,,,1620596965,17:49:25,20210509
8,2017-01-31,PZQA.IR,EUR,2017-01-31,2017-01-31,Q1,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,0.0,0.0,956750.0,33250.0,42750.0,-914000.0,0.0,-956750.0,0.0,0.0,-5104750.0,0.0,0.0,-5104750.0,0.0,-0.00855,-0.00855,597659000.0,597659000.0,,,1620596965,17:49:25,20210509
9,2016-06-30,PZQA.IR,EUR,2016-06-30,2016-06-30,Q2,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,810500.0,363000.0,42500.0,-768000.0,0.0,-810500.0,0.0,0.0,-5136500.0,0.0,0.0,-5136500.0,0.0,-0.0145,-0.0145,354451000.0,354451000.0,,,1620596965,17:49:25,20210509
10,2016-03-31,PZQA.IR,EUR,2016-03-31,2016-03-31,Q1,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,810500.0,363000.0,42500.0,-768000.0,0.0,-810500.0,0.0,0.0,-5136500.0,0.0,0.0,-5136500.0,0.0,-0.0145,-0.0145,354451000.0,354451000.0,,,1620596965,17:49:25,20210509
11,2016-01-31,PZQA.IR,EUR,2016-01-31,2016-01-31,Q1,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,810500.0,363000.0,42500.0,-768000.0,0.0,-810500.0,0.0,0.0,-5136500.0,0.0,0.0,-5136500.0,0.0,-0.0145,-0.0145,354451000.0,354451000.0,,,1620596965,17:49:25,20210509
12,2015-09-30,PZQA.IR,EUR,2015-09-30,2015-09-30,Q3,0.0,0.0,0.0,0.0,0.0,531750.0,0.0,0.0,0.0,1435750.0,1474500.0,12750.0,-1423000.0,0.0,-1435750.0,0.0,0.0,-6034250.0,0.0,0.0,-6034250.0,0.0,-0.048925,-0.048925,123338000.0,123338000.0,,,1620596965,17:49:25,20210509
